fan_id,item_type,amount
FAN_0146,Hot Dog,9.26
FAN_0572,Pretzel,12.1
FAN_1035,Pretzel,10.86
FAN_0118,Pretzel,9.3
FAN_0913,Nachos,11.47
FAN_0487,Hot Dog,11.22
FAN_0270,Pretzel,20.83
FAN_1048,Soda,17.44
FAN_0449,Soda,12.53
FAN_0412,Pretzel,12.19
FAN_0726,Hot Dog,9.14
FAN_0585,Nachos,19.55
FAN_0475,Pretzel,10.61
FAN_0973,Beer,20.62
FAN_0403,Beer,8.99
FAN_0146,Pretzel,9.43
FAN_1005,Hot Dog,9.07
FAN_0132,Soda,19.33
FAN_0211,Hot Dog,18.39
FAN_0652,Beer,21.83
FAN_0292,Nachos,16.92
FAN_0968,Hot Dog,18.78
FAN_0603,Hot Dog,21.27
FAN_1059,Pretzel,11.02
FAN_0914,Pretzel,14.13
FAN_1082,Soda,21.51
FAN_1138,Soda,16.2
FAN_0347,Pretzel,12.13
FAN_0385,Soda,11.84
FAN_0189,Hot Dog,14.38
FAN_0398,Beer,10.82
FAN_0854,Soda,19.2
FAN_0445,Hot Dog,15.9
FAN_0073,Soda,16.29
FAN_0214,Pretzel,13.66
FAN_0583,Soda,13.43
FAN_0871,Beer,15.85
FAN_0195,Hot Dog,8.99
FAN_1025,Nachos,10.36
FAN_0744,Pretzel,13.98
FAN_0093,Nachos,19.35
FAN_0602,Nachos,21.09
FAN_1151,Pretzel,10.11
FAN_1093,Beer,21.46
FAN_0479,Beer,9.52
FAN_1024,Pretzel,14.27
FAN_0580,Pretzel,18.89
FAN_0355,Soda,14.09
FAN_0485,Pretzel,19.88
FAN_0988,Soda,18.76
FAN_0710,Nachos,15.14
FAN_1060,Pretzel,21.16
FAN_0152,Pretzel,13.21
FAN_0707,Hot Dog,10.79
FAN_0695,Nachos,16.08
FAN_1193,Beer,18.81
FAN_0871,Soda,10.96
FAN_0022,Soda,11.4
FAN_0484,Nachos,16.66
FAN_0222,Pretzel,9.01
FAN_1135,Hot Dog,19.45
FAN_1115,Beer,8.68
FAN_1163,Nachos,17.0
FAN_0444,Beer,11.05
FAN_0854,Pretzel,14.82
FAN_0249,Beer,11.48
FAN_0591,Soda,14.46
FAN_1048,Soda,11.74
FAN_0142,Beer,16.06
FAN_0865,Soda,18.77
FAN_0083,Pretzel,11.07
FAN_0616,Pretzel,14.94
FAN_0244,Pretzel,20.85
FAN_0787,Beer,14.16
FAN_0633,Pretzel,9.98
FAN_0335,Hot Dog,15.08
FAN_0965,Beer,19.13
FAN_0081,Nachos,20.1
FAN_0347,Pretzel,17.52
FAN_0697,Beer,21.95
FAN_1104,Beer,9.04
FAN_1177,Beer,21.01
FAN_0660,Beer,20.77
FAN_0853,Hot Dog,13.38
FAN_0645,Beer,17.69
FAN_0409,Beer,18.34
FAN_0169,Nachos,21.63
FAN_0010,Hot Dog,15.94
FAN_0753,Soda,18.87
FAN_0284,Beer,20.01
FAN_0181,Hot Dog,18.58
FAN_0375,Pretzel,15.35
FAN_0314,Hot Dog,10.39
FAN_0821,Soda,14.2
FAN_0843,Nachos,15.31
FAN_1072,Beer,10.14
FAN_0625,Pretzel,17.44
FAN_0144,Beer,10.06
FAN_0613,Beer,8.8
FAN_0883,Nachos,21.93
FAN_0100,Nachos,14.06
FAN_0598,Soda,19.15
FAN_1130,Pretzel,20.89
FAN_0087,Pretzel,18.65
FAN_0127,Soda,9.53
FAN_0765,Pretzel,19.05
FAN_1103,Nachos,18.97
FAN_0821,Hot Dog,12.87
FAN_0892,Hot Dog,9.64
FAN_0815,Nachos,19.91
FAN_0927,Nachos,14.04
FAN_0077,Hot Dog,8.82
FAN_0192,Pretzel,8.24
FAN_0486,Soda,15.71
FAN_0726,Hot Dog,15.94
FAN_0417,Pretzel,17.7
FAN_0088,Nachos,18.48
FAN_0365,Hot Dog,19.48
FAN_0499,Hot Dog,19.09
FAN_0526,Pretzel,16.27
FAN_0870,Pretzel,21.4
FAN_0085,Beer,13.16
FAN_0334,Soda,18.93
FAN_1040,Nachos,11.42
FAN_0034,Pretzel,21.08
FAN_0669,Nachos,12.88
FAN_0078,Pretzel,16.22
FAN_0478,Nachos,16.84
FAN_0771,Nachos,11.68
FAN_0447,Hot Dog,8.77
FAN_0578,Pretzel,13.99
FAN_0146,Beer,20.75
FAN_1026,Hot Dog,8.78
FAN_0836,Nachos,8.49
FAN_0730,Nachos,14.59
FAN_0388,Soda,11.0
FAN_0083,Hot Dog,10.82
FAN_0902,Hot Dog,15.79
FAN_0950,Hot Dog,11.73
FAN_0455,Nachos,19.87
FAN_0433,Hot Dog,15.01
FAN_1151,Hot Dog,9.74
FAN_0440,Nachos,18.74
FAN_0336,Pretzel,21.33
FAN_0072,Hot Dog,14.45
FAN_0803,Beer,13.33
FAN_0097,Nachos,20.14
FAN_0495,Beer,19.99
FAN_0984,Beer,15.21
FAN_0707,Nachos,17.02
FAN_0511,Soda,8.06
FAN_0043,Hot Dog,9.59
FAN_0548,Beer,12.72
FAN_0483,Hot Dog,11.3
FAN_1066,Hot Dog,14.92
FAN_0761,Nachos,18.73
FAN_1027,Hot Dog,12.28
FAN_0589,Nachos,14.08
FAN_0105,Beer,17.27
FAN_0817,Nachos,8.44
FAN_0726,Soda,14.55
FAN_0776,Nachos,13.34
FAN_0651,Beer,15.71
FAN_0719,Pretzel,20.92
FAN_0954,Beer,18.76
FAN_0982,Hot Dog,8.47
FAN_1041,Pretzel,14.79
FAN_0663,Soda,12.45
FAN_0132,Beer,15.97
FAN_1155,Beer,20.08
FAN_0619,Pretzel,10.88
FAN_1159,Pretzel,8.82
FAN_0507,Soda,8.91
FAN_0623,Nachos,20.61
FAN_0366,Pretzel,18.44
FAN_0598,Hot Dog,14.67
FAN_1161,Nachos,11.87
FAN_0676,Hot Dog,16.01
FAN_0831,Pretzel,9.82
FAN_0327,Beer,20.07
FAN_0389,Soda,17.23
FAN_0633,Nachos,14.17
FAN_1124,Nachos,18.67
FAN_0372,Nachos,16.75
FAN_0146,Nachos,10.6
FAN_1096,Beer,19.53
FAN_0666,Pretzel,16.93
FAN_0306,Nachos,9.6
FAN_0517,Pretzel,15.21
FAN_0069,Hot Dog,8.15
FAN_0832,Soda,12.45
FAN_0022,Beer,15.75
FAN_0437,Hot Dog,14.63
FAN_1160,Beer,12.47
FAN_0330,Pretzel,16.81
FAN_0893,Hot Dog,13.86
FAN_0058,Pretzel,11.23
FAN_0137,Pretzel,14.86
FAN_0477,Pretzel,8.67
FAN_0341,Soda,14.65
FAN_0114,Pretzel,19.6
FAN_0841,Beer,17.73
FAN_0381,Hot Dog,21.05
FAN_1125,Soda,20.91
FAN_1178,Soda,12.77
FAN_0712,Soda,12.53
FAN_1064,Soda,10.3
FAN_0266,Beer,21.27
FAN_0955,Hot Dog,14.13
FAN_0845,Nachos,16.82
FAN_0305,Beer,16.86
FAN_0609,Nachos,15.22
FAN_0164,Hot Dog,9.27
FAN_0853,Nachos,13.27
FAN_1154,Nachos,11.87
FAN_1115,Nachos,9.04
FAN_0067,Soda,17.72
FAN_0247,Pretzel,13.4
FAN_0036,Soda,8.07
FAN_0038,Nachos,16.26
FAN_0039,Beer,18.46
FAN_0901,Hot Dog,14.18
FAN_0646,Soda,17.89
FAN_0052,Soda,17.92
FAN_0015,Soda,18.46
FAN_0578,Pretzel,10.66
FAN_1012,Hot Dog,10.61
FAN_0664,Soda,13.16
FAN_0415,Beer,12.14
FAN_1033,Beer,8.51
FAN_0874,Soda,11.83
FAN_1018,Pretzel,8.73
FAN_0435,Hot Dog,13.95
FAN_0069,Pretzel,8.05
FAN_0386,Soda,8.92
FAN_0965,Beer,21.23
FAN_0625,Beer,15.66
FAN_0326,Nachos,14.06
FAN_0320,Hot Dog,17.64
FAN_0267,Beer,9.34
FAN_1160,Nachos,15.44
FAN_0803,Soda,8.84
FAN_0500,Soda,19.72
FAN_0143,Nachos,21.04
FAN_0084,Hot Dog,20.68
FAN_1168,Beer,14.26
FAN_0439,Soda,12.45
FAN_0907,Nachos,16.46
FAN_0935,Nachos,12.31
FAN_1167,Beer,17.14
FAN_0415,Pretzel,16.77
FAN_1052,Nachos,10.62
FAN_0680,Nachos,10.08
FAN_0044,Beer,9.53
FAN_0754,Soda,19.67
FAN_1049,Beer,8.24
FAN_0271,Soda,19.23
FAN_0488,Hot Dog,21.31
FAN_0498,Hot Dog,8.09
FAN_1114,Beer,11.71
FAN_0333,Beer,12.3
FAN_1041,Beer,12.48
FAN_0070,Pretzel,17.19
FAN_0891,Nachos,9.98
FAN_0370,Soda,18.09
FAN_0039,Nachos,13.33
FAN_1156,Nachos,10.9
FAN_0477,Pretzel,21.02
FAN_0781,Nachos,15.95
FAN_0871,Nachos,21.69
FAN_0554,Nachos,16.99
FAN_0871,Hot Dog,10.74
FAN_1049,Pretzel,13.68
FAN_0646,Nachos,11.07
FAN_0125,Nachos,16.27
FAN_0786,Nachos,17.22
FAN_0099,Hot Dog,15.19
FAN_0431,Nachos,9.12
FAN_1012,Nachos,19.86
FAN_1190,Beer,21.97
FAN_0707,Beer,18.64
FAN_1082,Nachos,8.85
FAN_1073,Beer,9.82
FAN_0057,Beer,17.11
FAN_0110,Hot Dog,17.6
FAN_0004,Hot Dog,15.11
FAN_1025,Pretzel,15.17
FAN_0007,Soda,20.2
FAN_1153,Hot Dog,21.8
FAN_0862,Beer,16.57
FAN_0884,Soda,12.05
FAN_0196,Beer,17.8
FAN_0110,Nachos,12.4
FAN_1185,Nachos,15.14
FAN_0666,Hot Dog,9.08
FAN_0932,Beer,15.32
FAN_0899,Beer,8.19
FAN_0271,Beer,12.2
FAN_0485,Beer,14.8
FAN_0266,Soda,12.93
FAN_0734,Pretzel,17.46
FAN_0037,Pretzel,9.67
FAN_0859,Nachos,20.16
FAN_0734,Soda,8.15
FAN_0642,Beer,10.46
FAN_0306,Nachos,14.07
FAN_0678,Pretzel,15.35
FAN_0813,Beer,17.59
FAN_0278,Pretzel,16.92
FAN_0081,Beer,17.05
FAN_0553,Soda,14.92
FAN_1190,Pretzel,8.09
FAN_0822,Hot Dog,9.77
FAN_0241,Beer,11.79
FAN_0221,Beer,11.95
FAN_1181,Pretzel,18.59
FAN_0968,Soda,19.33
FAN_0265,Nachos,17.09
FAN_0085,Soda,21.21
FAN_0580,Beer,19.07
FAN_0434,Pretzel,10.01
FAN_1118,Nachos,13.72
FAN_0226,Soda,15.68
FAN_0474,Hot Dog,18.32
FAN_0267,Hot Dog,9.11
FAN_0688,Pretzel,18.48
FAN_1136,Hot Dog,9.38
FAN_0894,Beer,8.55
FAN_0283,Nachos,20.86
FAN_1084,Beer,17.55
FAN_0978,Nachos,14.89
FAN_0005,Hot Dog,17.64
FAN_0214,Pretzel,17.02
FAN_0337,Pretzel,17.03
FAN_0080,Nachos,18.81
FAN_0159,Pretzel,8.34
FAN_0088,Soda,11.77
FAN_0747,Nachos,17.18
FAN_0178,Pretzel,13.48
FAN_0876,Soda,10.64
FAN_0946,Pretzel,11.3
FAN_0371,Hot Dog,17.16
FAN_0919,Soda,15.14
FAN_0228,Nachos,18.15
FAN_0427,Soda,19.3
FAN_0533,Pretzel,18.84
FAN_0450,Beer,18.58
FAN_1097,Beer,20.26
FAN_0562,Soda,9.8
FAN_0380,Hot Dog,16.34
FAN_0030,Pretzel,16.99
FAN_1112,Nachos,13.02
FAN_0410,Nachos,19.03
FAN_0987,Pretzel,19.65
FAN_0730,Nachos,14.91
FAN_0391,Beer,13.25
FAN_0557,Nachos,14.11
FAN_0996,Pretzel,15.08
FAN_0010,Pretzel,15.78
FAN_0486,Nachos,12.42
FAN_0939,Nachos,18.31
FAN_0951,Beer,9.15
FAN_0370,Beer,12.18
FAN_0653,Pretzel,8.67
FAN_0950,Hot Dog,11.29
FAN_1115,Hot Dog,9.6
FAN_0564,Soda,15.57
FAN_0511,Soda,13.67
FAN_1131,Pretzel,14.56
FAN_0861,Nachos,16.27
FAN_0862,Soda,19.97
FAN_0277,Hot Dog,12.58
FAN_0304,Nachos,8.19
FAN_0526,Soda,8.04
FAN_0731,Hot Dog,10.51
FAN_0991,Nachos,14.17
FAN_0620,Pretzel,11.93
FAN_0625,Pretzel,19.96
FAN_0912,Hot Dog,15.94
FAN_1012,Nachos,21.2
FAN_0534,Hot Dog,13.16
FAN_0087,Soda,18.04
FAN_0192,Nachos,20.27
FAN_0178,Beer,8.59
FAN_0981,Nachos,10.85
FAN_0583,Pretzel,17.68
FAN_0705,Soda,16.48
FAN_0673,Hot Dog,20.55
FAN_0083,Beer,13.43
FAN_0291,Soda,17.12
FAN_0043,Nachos,21.7
FAN_0200,Pretzel,19.1
FAN_0299,Hot Dog,18.03
FAN_0581,Beer,11.49
FAN_1081,Nachos,9.34
FAN_0168,Beer,14.46
FAN_0858,Soda,14.12
FAN_0861,Pretzel,17.76
FAN_1166,Hot Dog,20.98
FAN_0140,Hot Dog,20.81
FAN_0958,Hot Dog,11.28
FAN_0933,Hot Dog,16.72
FAN_0973,Nachos,13.97
FAN_0536,Hot Dog,12.03
FAN_0403,Pretzel,14.92
FAN_0716,Beer,21.4
FAN_0367,Hot Dog,17.24
FAN_0378,Beer,19.4
FAN_0726,Soda,16.69
FAN_0591,Pretzel,10.39
FAN_0880,Pretzel,18.39
FAN_0657,Nachos,15.3
FAN_0824,Pretzel,17.35
FAN_0178,Hot Dog,14.45
FAN_0822,Beer,13.22
FAN_1028,Soda,20.37
FAN_1104,Soda,16.22
FAN_0901,Nachos,19.13
FAN_0252,Nachos,11.12
FAN_0032,Pretzel,15.25
FAN_0420,Soda,8.98
FAN_1089,Beer,18.83
FAN_0362,Pretzel,19.94
FAN_0330,Pretzel,9.82
FAN_0660,Soda,15.63
FAN_0862,Soda,10.53
FAN_0194,Nachos,21.06
FAN_0242,Soda,15.87
FAN_0543,Nachos,17.09
FAN_0105,Nachos,8.54
FAN_0621,Soda,21.73
FAN_0732,Nachos,15.21
FAN_1189,Beer,20.12
FAN_0704,Soda,19.52
FAN_0664,Soda,14.31
FAN_0598,Pretzel,11.12
FAN_0736,Pretzel,19.79
FAN_0150,Pretzel,12.59
FAN_0820,Beer,18.05
FAN_0711,Soda,21.94
FAN_1117,Hot Dog,16.6
FAN_0949,Soda,13.91
FAN_0794,Nachos,18.22
FAN_0063,Soda,11.37
FAN_0772,Hot Dog,15.81
FAN_1147,Pretzel,21.54
FAN_0950,Pretzel,9.69
FAN_0022,Hot Dog,11.69
FAN_0982,Soda,9.14
FAN_0801,Beer,9.86
FAN_1108,Soda,13.96
FAN_1182,Soda,17.92
FAN_0665,Pretzel,13.32
FAN_0035,Pretzel,20.47
FAN_0681,Nachos,13.81
FAN_0614,Nachos,8.2
FAN_1113,Nachos,16.48
FAN_0365,Hot Dog,19.71
FAN_0965,Hot Dog,21.27
FAN_1040,Pretzel,19.45
FAN_0018,Nachos,9.84
FAN_0388,Beer,15.86
FAN_0211,Soda,19.32
FAN_1127,Nachos,21.13
FAN_0371,Hot Dog,14.87
FAN_1194,Nachos,19.75
FAN_1112,Nachos,16.73
FAN_1147,Nachos,17.38
FAN_0493,Beer,11.57
FAN_0367,Pretzel,17.01
FAN_0617,Pretzel,10.27
FAN_0569,Pretzel,10.14
FAN_0037,Beer,12.49
FAN_0155,Hot Dog,19.38
FAN_0445,Nachos,19.26
FAN_0160,Beer,9.02
FAN_0991,Pretzel,15.81
FAN_1116,Nachos,16.5
FAN_0130,Beer,9.66
FAN_0898,Soda,14.12
FAN_0665,Nachos,11.01
FAN_0853,Soda,10.45
FAN_0105,Hot Dog,21.5
FAN_0779,Hot Dog,16.85
FAN_0345,Nachos,15.87
FAN_0810,Beer,19.76
FAN_0839,Beer,21.71
FAN_0508,Nachos,21.3
FAN_0566,Nachos,15.89
FAN_0133,Pretzel,15.18
FAN_0109,Nachos,20.26
FAN_1118,Hot Dog,10.79
FAN_0514,Nachos,10.46
FAN_0146,Beer,12.7
FAN_1119,Nachos,10.58
FAN_0711,Soda,14.68
FAN_0384,Pretzel,17.09
FAN_0389,Hot Dog,18.13
FAN_0378,Pretzel,18.64
FAN_0491,Nachos,21.22
FAN_0503,Pretzel,16.39
FAN_1193,Nachos,16.44
FAN_1150,Hot Dog,14.96
FAN_0076,Hot Dog,16.84
FAN_0637,Hot Dog,15.71
FAN_0024,Beer,18.73
FAN_0857,Beer,9.58
FAN_1109,Soda,17.18
FAN_0284,Beer,8.54
FAN_0316,Beer,19.97
FAN_0990,Soda,8.23
FAN_0443,Soda,12.51
FAN_0785,Nachos,21.52
FAN_0840,Nachos,11.44
FAN_0641,Beer,20.01
FAN_0653,Pretzel,8.55
FAN_0304,Nachos,12.59
FAN_0598,Nachos,14.51
FAN_1022,Nachos,13.93
FAN_0977,Beer,14.41
FAN_0550,Beer,15.0
FAN_0586,Soda,20.94
FAN_0486,Nachos,17.72
FAN_1080,Hot Dog,10.0
FAN_0068,Hot Dog,10.85
FAN_0011,Pretzel,16.22
FAN_0037,Beer,17.03
FAN_0625,Beer,8.49
FAN_0553,Nachos,12.29
FAN_0720,Nachos,15.93
FAN_0775,Nachos,16.91
FAN_0037,Hot Dog,16.28
FAN_0103,Nachos,15.09
FAN_0678,Hot Dog,14.06
FAN_0173,Soda,13.67
FAN_0790,Nachos,17.83
FAN_1160,Hot Dog,10.77
FAN_0471,Nachos,19.79
FAN_0346,Soda,16.48
FAN_0220,Soda,16.49
FAN_0642,Hot Dog,17.37
FAN_0597,Beer,11.65
FAN_0374,Hot Dog,21.06
FAN_0641,Soda,11.76
FAN_0538,Nachos,8.68
FAN_0070,Pretzel,20.31
FAN_0662,Soda,14.72
FAN_0321,Soda,16.23
FAN_0599,Soda,19.79
FAN_0760,Nachos,8.91
FAN_0250,Beer,21.35
FAN_0701,Beer,20.75
FAN_0023,Nachos,18.08
FAN_1012,Pretzel,8.4
FAN_1075,Nachos,20.06
FAN_1091,Hot Dog,14.83
FAN_0044,Soda,10.71
FAN_0896,Pretzel,15.44
FAN_0973,Nachos,17.26
FAN_1175,Hot Dog,14.75
FAN_0029,Hot Dog,12.62
FAN_0435,Soda,8.02
FAN_0145,Soda,14.79
FAN_0275,Hot Dog,13.13
FAN_0335,Pretzel,17.64
FAN_0463,Beer,19.4
FAN_0043,Hot Dog,12.97
FAN_0928,Pretzel,8.79
FAN_0123,Nachos,11.76
FAN_1088,Hot Dog,10.13
FAN_0092,Soda,12.5
FAN_0762,Hot Dog,11.41
FAN_0655,Nachos,16.8
FAN_0716,Soda,12.55
FAN_1023,Soda,18.11
FAN_0323,Beer,9.34
FAN_0859,Beer,8.48
FAN_0584,Beer,8.4
FAN_0043,Nachos,17.88
FAN_0602,Hot Dog,9.73
FAN_0891,Soda,13.68
FAN_0100,Hot Dog,12.73
FAN_0586,Hot Dog,14.86
FAN_0342,Soda,20.72
FAN_0640,Pretzel,11.74
FAN_0816,Nachos,21.87
FAN_0793,Pretzel,11.07
FAN_0568,Hot Dog,16.44
FAN_0613,Soda,13.7
FAN_0178,Soda,15.55
FAN_0993,Hot Dog,20.02
FAN_0450,Hot Dog,15.68
FAN_1104,Nachos,16.68
FAN_0298,Beer,16.49
FAN_0921,Pretzel,10.1
FAN_1081,Soda,17.12
FAN_0066,Pretzel,10.99
FAN_1187,Pretzel,12.03
FAN_1025,Beer,13.84
FAN_1165,Soda,8.76
FAN_0885,Pretzel,20.03
FAN_0308,Nachos,10.86
FAN_1010,Soda,12.43
FAN_0219,Beer,20.9
FAN_1019,Nachos,10.63
FAN_0065,Pretzel,8.07
FAN_1186,Hot Dog,21.66
FAN_0583,Soda,13.32
FAN_0003,Pretzel,9.21
FAN_0339,Nachos,18.43
FAN_0002,Beer,17.17
FAN_0450,Pretzel,17.98
FAN_0565,Pretzel,10.68
FAN_0142,Pretzel,9.05
FAN_0829,Beer,19.28
FAN_1170,Pretzel,11.35
FAN_1136,Nachos,15.75
FAN_1033,Soda,9.2
FAN_0900,Nachos,12.03
FAN_0521,Nachos,19.86
FAN_1094,Pretzel,8.29
FAN_0553,Beer,18.05
FAN_0859,Nachos,12.84
FAN_0476,Pretzel,8.99
FAN_0027,Hot Dog,13.53
FAN_1130,Beer,18.6
FAN_1051,Pretzel,8.31
FAN_0095,Soda,10.04
FAN_0169,Nachos,19.65
FAN_0788,Pretzel,18.47
FAN_0441,Nachos,9.43
FAN_0467,Beer,9.41
FAN_0354,Beer,15.65
FAN_0924,Soda,10.8
FAN_0778,Beer,11.45
FAN_0631,Pretzel,9.95
FAN_0732,Pretzel,16.4
FAN_0979,Soda,17.19
FAN_0588,Nachos,13.34
FAN_0845,Beer,16.68
FAN_0873,Beer,12.56
FAN_0389,Pretzel,20.6
FAN_0291,Pretzel,15.27
FAN_0622,Nachos,17.55
FAN_0201,Soda,15.28
FAN_0826,Pretzel,14.46
FAN_0406,Nachos,20.14
FAN_0408,Hot Dog,14.27
FAN_0744,Nachos,14.4
FAN_0406,Beer,11.52
FAN_0994,Beer,10.05
FAN_0005,Nachos,17.6
FAN_0404,Pretzel,19.48
FAN_0089,Beer,19.12
FAN_0249,Beer,20.2
FAN_0043,Pretzel,9.14
FAN_0266,Nachos,17.42
FAN_0202,Soda,9.46
FAN_0658,Soda,21.02
FAN_0457,Soda,17.58
FAN_0955,Hot Dog,12.18
FAN_0438,Soda,11.98
FAN_0043,Beer,13.31
FAN_0133,Soda,8.85
FAN_1068,Beer,21.58
FAN_1185,Beer,8.55
FAN_0134,Nachos,21.21
FAN_0994,Beer,9.05
FAN_0722,Beer,18.25
FAN_0005,Soda,20.18
FAN_0048,Nachos,17.98
FAN_0027,Beer,10.85
FAN_0333,Beer,21.23
FAN_0552,Nachos,10.92
FAN_0631,Beer,17.48
FAN_0996,Soda,11.72
FAN_0701,Nachos,16.36
FAN_0143,Soda,19.32
FAN_0769,Beer,12.92
FAN_0962,Nachos,21.79
FAN_0088,Nachos,18.21
FAN_0542,Nachos,12.28
FAN_0334,Hot Dog,17.37
FAN_0390,Nachos,17.41
FAN_0455,Nachos,16.07
FAN_0226,Beer,16.98
FAN_0730,Beer,10.2
FAN_0393,Beer,13.99
FAN_0721,Nachos,19.58
FAN_0162,Hot Dog,9.71
FAN_0558,Beer,13.59
FAN_0614,Beer,19.94
FAN_0962,Soda,8.68
